,3M,6M,1A
BTC,0.23578031440280356,0.2508069795010864,0.34933604330370843
ETH,0.5830102589862783,0.5437574521511939,0.6522082496455035
SOL,0.6408662010303611,0.5772829610112291,0.7435858976521867
VT,0.09551419644859235,0.2033353988428645,0.17253559572788738
SUSA,0.09728340884019882,0.22091376475739122,0.1885575366654414
SUSC,0.04563933990252645,0.06457796140084411,0.06335593328442352
EEM,0.11559770681985283,0.19329685409177005,0.18044777878694518
IWDA.AS,0.110654642371458,0.19938496358242622,0.17124969010260604
SPYG,0.11545925160470512,0.2647977755036688,0.2376431854309453
LQD,0.054286903477966254,0.07859079500188694,0.07564653974417787
AGGG.L,0.062112119161031105,0.06471062777813977,0.0636758764691742
